課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Manipulating Data with SQL,4.6 out of 5 stars,194 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/manipulating-data-with-sql,,"Database Design, SQL, Data Manipulation, Data Management, Debugging, Database Management Systems, Databases, Relational Databases, Data Integrity",,"Judy Richardson, Coursera Project Network"
Database Design and Basic SQL in PostgreSQL,4.8 out of 5 stars,1.1K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/database-design-postgresql,4 modules,"Relational Databases, Databases, Data Integrity, PostgreSQL, Database Theory, SQL, Data Modeling, Database Design, Database Management",Introduction to SQL | Single Table SQL | One-To-Many Data Models | Many-To-Many Data Models,"Charles Russell Severance, University of Michigan"
Google Business Intelligence,4.8 out of 5 stars,3.4K reviews,Advanced · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-business-intelligence,,"Database Design, Data Integration, SQL, Interviewing Skills, Applicant Tracking Systems, Tableau Software, Business Analytics, Professional Development, Business Intelligence, Dashboard, Data Modeling, Stakeholder Engagement","Foundations of Business Intelligence | The Path to Insights: Data Models and Pipelines | Decisions, Decisions: Dashboards and Reports",
SQL für Data Science,4.3 out of 5 stars,29 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/sql-for-data-science-de,4 modules,"Relational Databases, Database Design, Data Transformation, SQL, Data Modeling, Data Quality, Data Governance, Databases, Data Manipulation, Query Languages, Descriptive Statistics, Data Analysis","Erste Schritte sowie AuswÃ¤hlen und Abrufen von Daten mit SQL | Filtern, Sortieren und Berechnen von Daten mit SQL | Unterabfragen und VerknÃ¼pfungen in SQL | Ãndern und Analysieren von Daten mit SQL","Sadie St. Lawrence, University of California, Davis"
IBM Data Engineering,4.6 out of 5 stars,59K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-engineer,,"Database Design, SQL, Linux Commands, Data Import/Export, Apache Hadoop, IBM Cognos Analytics, NoSQL, Data Science, Generative AI, Professional Networking, Database Administration, Data Warehousing","Introduction to Data Engineering | Python for Data Science, AI & Development | Python Project for Data Engineering | Introduction to Relational Databases (RDBMS) | Databases and SQL for Data Science with Python | Hands-on Introduction to Linux Commands and Shell Scripting | Relational Database Administration (DBA) | ETL and Data Pipelines with Shell, Airflow and Kafka | Data Warehouse Fundamentals | BI Dashboards with IBM Cognos Analytics and Google Looker | Introduction to NoSQL Databases | Introduction to Big Data with Spark and Hadoop | Machine Learning with Apache Spark | Data Engineering Capstone Project | Generative AI: Elevate your Data Engineering Career | Data Engineering Career Guide and Interview Preparation","IBM Skills Network Team, Muhammad Yahya, Abhishek Gagneja, Shubhra Das, Romeo Kienzler, Joseph Santarcangelo, Rav Ahuja, Hima Vasudevan, Sandip Saha Joy, Priya Kapoor, Steve Ryan, Lavanya Thiruvali Sunderarajan, Aije Egwaikhide, Yan Luo, Ramesh Sannareddy, Sabrina Spillner, Jeff Grossman, Sam Prokopchuk"
Databases for Data Scientists,4.7 out of 5 stars,1.3K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/databases-for-data-scientists,,"Database Design, SQL, Database Application, Database Management Systems, NoSQL, Data Science, Query Languages, Database Architecture and Administration, Databases, Database Theory, Data Integrity, Data Modeling",Relational Database Design | The Structured Query Language (SQL) | Advanced Topics and Future Trends in Database Technologies,"Di Wu, Alan Paradise, University of Colorado Boulder"
SQL Joins,4.5 out of 5 stars,169 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/sql-joins,,"Relational Databases, SQL, MySQL, Computer Programming, Computer Science, Data Analysis",,"Emma Martin, Coursera Project Network"
SQL Window Functions for Analytics,4.7 out of 5 stars,37 reviews,Advanced · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/sql-window-functions-for-analytics,,"Database Systems, SQL, Database Management, PostgreSQL, Data Manipulation, Query Languages",,"Arimoro Olayinka Imisioluwa, Coursera Project Network"
Working with Subqueries in SQL,4.4 out of 5 stars,58 reviews,Advanced · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/working-with-subqueries-in-sql,,"Query Languages, PostgreSQL, SQL",,"Arimoro Olayinka Imisioluwa, Coursera Project Network"
Microsoft SQL Server: Performance Tuning Essentials,4.3 out of 5 stars,10 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/microsoft-sql-server-performance-tuning-essentials,1 module,"SQL, Database Development, Microsoft SQL Servers, Database Management, Database Design, Stored Procedure, Performance Tuning, Operational Databases, Query Languages, System Monitoring, Network Troubleshooting",Microsoft SQL Server: Performance Tuning Essentials,"Luca Berton, Coursera Instructor Network"
Excel to MySQL: Analytic Techniques for Business,4.6 out of 5 stars,15K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/excel-mysql,,"Database Design, SQL, Tableau Software, Business Analytics, Data Storytelling, Business Communication, Business Process Improvement, Business Intelligence, Dashboard, Business Metrics, Data Visualization Software, Big Data",Business Metrics for Data-Driven Companies | Mastering Data Analysis in Excel | Data Visualization and Communication with Tableau | Managing Big Data with MySQL | Increasing Real Estate Management Profits: Harnessing Data Analytics,"Jana Schaich Borg, Daniel Egger, Duke University"
Meta Database Engineer,4.6 out of 5 stars,7.2K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/meta-database-engineer,,"Database Design, GitHub, SQL, Database Management Systems, Unix Commands, Data Structures, Database Development, Databases, Version Control, Data Modeling, Database Administration, Stored Procedure",Introduction to Databases | Version Control | Database Structures and Management with MySQL | Advanced MySQL Topics | Programming in Python | Database Clients | Advanced Data Modeling | Database Engineer Capstone | Coding Interview Preparation,Taught by Meta Staff
Advanced MySQL Topics,4.7 out of 5 stars,235 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/advanced-mysql-topics,4 modules,"JSON, MySQL, Analytics, Database Development, Relational Databases, Transaction Processing, Stored Procedure, Query Languages, Data Analysis, Database Management, SQL, Performance Tuning",Functions and triggers | Database optimization | MySQL for data analytics | Final project,Taught by Meta Staff
DeepLearning.AI Data Analytics,4.7 out of 5 stars,113 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/data-analytics,,"Statistics, Large Language Modeling, Tableau Software, Pandas (Python Package), Data Storytelling, Data Presentation, Probability & Statistics, Dashboard, Time Series Analysis and Forecasting, Data Visualization Software, Google Sheets, Data Validation",Data Analytics Foundations | Applied Statistics for Data Analytics | Python for Data Analytics | Data I/O and Preprocessing with Python and SQL | Data Storytelling,Sean Barnes
Data Analysis with SQL: Inform a Business Decision,4.1 out of 5 stars,44 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/award-sales-incentive-bonuses-using-w3schools-sql-tool,,"Data Analysis, Data Presentation, Query Languages, Business Analysis, SQL, Databases, Business Intelligence",,"Judy Richardson, Coursera Project Network"
