課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
BI Essentials for Finance Analysts (Power BI Edition),4.8 out of 5 stars,198 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/bi-essentials-for-finance-professionals-powerbi,,"SQL, Data Import/Export, Pivot Tables And Charts, Financial Statements, Excel Formulas, Databases, Data Storytelling, Financial Analysis, Business Intelligence, Dashboard, Data Modeling, Data Transformation",Power BI Fundamentals | Intermediate DAX & Time Intelligence | SQL Fundamentals for Data Analysts | Financial Statements in Power BI,"CFI (Corporate Finance Institute), Corporate Finance Institute"
Master Microsoft Office 365 and Power Platform,4.7 out of 5 stars,5.7K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/master-microsoft-office-365-power-platform,,"Data Integration, Microsoft Word, Multimedia, Microsoft PowerPoint, Prompt Engineering, Microsoft Outlook, Presentations, Excel Formulas, Dashboard, Microsoft Power Platform, Microsoft Copilot, Productivity Software",Work Smarter with Microsoft Word | Work Smarter with Microsoft Excel | Work Smarter with Microsoft PowerPoint | Introduction to Microsoft 365 Copilot | Introduction to Microsoft Power Platform | Use Power Platform for Custom & Automated Solutions | Power BI & Power Virtual Agents | The PL-900 Practice Exam,
Mastering Power BI for Data Analytics & Storytelling,4.3 out of 5 stars,23 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/mastering-power-bi-data-analytics-storytelling,,"Database Design, SQL, Transact-SQL, Data Storytelling, Data Presentation, Inventory Management System, Business Intelligence, Dashboard, Data Visualization Software, Microsoft SQL Servers, Data Modeling, Data Transformation",Learn Data Storytelling: Power BI Techniques | Power BI for Data Science and Analytics | Power BI Integration with AWS and Snowflake | Data Connection and Functionalities in Power BI | Power BI Capstone Project,
Microsoft AI Product Manager,4.7 out of 5 stars,73 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-ai-product-manager,,"Product Roadmaps, Quality Assurance, Product Lifecycle Management, Usability, New Product Development, Market Analysis, Design Thinking, Market Research, Product Development, Product Quality (QA/QC), Competitive Intelligence, Business Research",Enterprise Product Management Fundamentals | Market Research and Competitive Analysis | Product Strategy and Roadmapping | Product Design and UX/UI Fundamentals | Product Launch and Post-Launch Management,
Microsoft Public Relations and Communications Associate,4.7 out of 5 stars,113 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-public-relations,,"Media Relations, Writing and Editing, Corporate Communications, Target Audience, Marketing Communications, Generative AI, Editing, Proofreading, Stakeholder Communications, Communication Planning, Internal Communications, Public Relations","Introduction to Public Relations | Content Development and Management | Media Relations and Crisis Management | Marketing, Communication, and PR | Stakeholder Relations and Reporting",
Microsoft Python Development,4.4 out of 5 stars,293 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-python-developer,,"Matplotlib, GitHub, Flask (Web Framework), Automation, Plotly, Data Structures, DevOps, Debugging, Generative AI, Cloud Computing, Scripting, Version Control",Python Programming Fundamentals | Data Analysis and Visualization with Python | Automation and Scripting with Python | Web Development with Python | Advanced Python Development Techniques | Project Development in Python,
"Power System: Generation, Transmission and Protection",4.5 out of 5 stars,201 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/power-system-generation-transmission-and-protection,,"Energy and Utilities, Mathematical Modeling, Plant Operations and Management, Electrical Power, Three-Phase, Electrical Substation, Matlab, Automation Engineering, Low Voltage, Electrical Safety, Power Electronics, High Voltage",Electrical Power Generation - An Industrial Outlook | Basics of Electrical Protection System | Advanced Study of Protection Schemes and Switchgear | Design of Transmission Line: Modelling and Performance,"Subject Matter Expert, L&T EduTech"
Microsoft Azure Fundamentals AZ-900 Exam Prep,4.6 out of 5 stars,64 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/microsoft-azure-fundamentals-az900-exam-prep,,"Identity and Access Management, Patch Management, Microsoft Azure, Virtual Machines, Cloud Platforms, Public Cloud, Role-Based Access Control (RBAC), Cloud Computing, Infrastructure as Code (IaC), Disaster Recovery, System Monitoring, Windows PowerShell","Essentials with Azure Fundamentals | Secure & Scalable Cloud Infrastructure with Microsoft Azure | Managing Azure Infrastructure: Storage, Monitoring & Backup | Preparing for the AZ-900 Microsoft Azure Fundamentals Exam",
Excel Skills for Data Analytics and Visualization,4.8 out of 5 stars,5.8K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/excel-data-analytics-visualization,,"Pivot Tables And Charts, Data Analysis Software, Excel Formulas, Data Storytelling, Excel Macros, Dashboard, Data Visualization Software, Data Modeling, Data Transformation, Interactive Data Visualization, Data Validation, Microsoft Excel",Excel Fundamentals for Data Analysis | Data Visualization in Excel | Excel Power Tools for Data Analysis,"Assoc Prof Prashan S. M. Karunaratne, Nicky Bull, Macquarie University"
IBM Data Management,4.7 out of 5 stars,17K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-manager,,"Database Design, SQL, Data Security, Data Governance, Data Migration, Excel Formulas, Databases, Data Storytelling, Business Intelligence, Dashboard, Data Architecture, Data Warehousing","Introduction to Data Engineering | Excel Basics for Data Analysis | Statistical Analysis Fundamentals using Excel | Data Visualization and Dashboards with Excel and Cognos | Introduction to Relational Databases (RDBMS) | SQL: A Practical Introduction for Querying Databases | Data Warehouse Fundamentals | Getting Started with Tableau | Data Integration, Data Storage, & Data Migration | Data Privacy, Security, Governance, Risk and Compliance | Data Management Capstone Project | Practice Test for CompTIA Data+ Certification","IBM Skills Network Team, Dr. Pooja, Skill-Up EdTech Team, Murtaza Haider, Rav Ahuja, Sandip Saha Joy, Priya Kapoor, Steve Ryan, Kevin McFaul, Ramesh Sannareddy, SkillUp EdTech"
