課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Microsoft Business Analyst,4.6 out of 5 stars,1K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-business-analyst,,"Business Process Modeling, Software Development Life Cycle, Pivot Tables And Charts, Microsoft Visio, Requirements Elicitation, Excel Formulas, Requirements Analysis, Microsoft Power Platform, Data Modeling, Process Flow Diagrams, Microsoft Excel, Quality Management",Business Analysis Fundamentals | Data for Business Analysts Using Microsoft Excel | Data and Business Process Modeling with Microsoft Visio | Requirements Gathering in Business Analysis | Power Platform in Business Analysis | Project Delivery in Business Analysis and Capstone Project,
Work Smarter with Microsoft Word,4.7 out of 5 stars,2.1K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/microsoft-word-work-smarter,7 modules,"Microsoft Word, Microsoft 365, Document Management, Presentations, Editing, Writing, Grammar, Proofreading, Technical Documentation, Microsoft Windows",Getting Started with Microsoft 365 | Entry-level: Getting started with Word | Working with text tables and lists | Working With Graphics | Finalizing a document | Collaborating on documents | Honors: Hands-on practice using Microsoft Word,
Microsoft Project Management,4.7 out of 5 stars,468 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-project-management,,"Project Closure, Project Management Institute (PMI) Methodology, Project Performance, Risk Analysis, Project Implementation, Project Risk Management, Planning, Communication, Stakeholder Communications, Team Building, Systems Thinking, Earned Value Management",Project Management Fundamentals | Team Building and Leadership in Project Management | Project Manager Engagement with Stakeholders | Process Groups and Processes in Project Management | PMP Formulas | Project Management Principles | Project Management Performance Domains | Agile and Hybrid Approaches in a Project Environment | PMP Application Process and Practice Exam,
Excel Skills for Business: Intermediate I,4.9 out of 5 stars,17K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/excel-intermediate-1,7 modules,"Data Analysis Expressions (DAX), Microsoft Excel, Business Reporting, Consolidation, Excel Formulas, Spreadsheet Software, Data Management, Data Cleansing, Dashboard, Automation","Working with Multiple Worksheets & Workbooks | Text and Date Functions | Named Ranges | Summarising Data | Tables | Pivot Tables, Charts and Slicers | Final Assessment","Nicky Bull, Assoc Prof Prashan S. M. Karunaratne, Professor Yvonne Breyer, Macquarie University"
"Everyday Excel, Part 3 (Projects)",4.8 out of 5 stars,284 reviews,Advanced · Course · 1 - 3 Months,https://www.coursera.org/learn/everyday-excel-projects,5 modules,"Excel Formulas, Analysis, Microsoft Excel, Complex Problem Solving, Mathematical Modeling, Data Validation, Data Management",Introduction and General Course Information | WARM-UP PROJECTS (Choose Three) | INTERMEDIATE PROJECTS (Choose Three) | MAIN PROJECTS (Choose Three) | For Honors!,"Charlie Nuttelman, University of Colorado Boulder"
Introduction to Microsoft Azure Cloud Services,4.6 out of 5 stars,2.7K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/microsoft-azure-cloud-services,4 modules,"Scalability, General Networking, Microsoft Azure, Cloud Platforms, Virtual Machines, Public Cloud, Cloud Computing, Cloud Services, Cloud Infrastructure, Cloud Storage, Virtual Private Networks (VPN), Virtualization, Database Management Systems","Introduction to Azure Fundamentals | Microsoft Azure Fundamental Concepts & Architectural Components | Microsoft Azure Database, Analytics, & Compute Services | Microsoft Azure Storage & Networking Services",
Crear Gráficos y Paneles con Microsoft Excel,4.8 out of 5 stars,177 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/crear-graficos-paneles-microsoft-excel,,"Microsoft Excel, Spreadsheet Software, Data Presentation, Data Analysis, Data Visualization Software, Dashboard, Pivot Tables And Charts",,"Paula Del Rey, Coursera Project Network"
Advanced Business Analytics: Excel Optimization & Simulation,4.9 out of 5 stars,28 reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/business-analytics-2,5 modules,"Operational Analysis, Risk Analysis, Data-Driven Decision-Making, Microsoft Excel, Business Operations, Business Analytics, Analytics, Transportation Operations, Logistics, Process Optimization, Simulation and Simulation Software, Statistical Methods, Business Modeling, Resource Allocation",Modeling in Excel: Elementary to Advanced | Sensitivity Analysis | Advanced Integer Programming | Advanced Transportation Problems | Simulation,"Joseph W. Cutrone, PhD, Johns Hopkins University"
IBM Data Analyst,4.6 out of 5 stars,93K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-analyst,,"Matplotlib, SQL, Data Import/Export, Plotly, IBM Cognos Analytics, Generative AI, Excel Formulas, Data Storytelling, Exploratory Data Analysis, Dashboard, Professional Networking, Predictive Modeling","Introduction to Data Analytics | Excel Basics for Data Analysis | Data Visualization and Dashboards with Excel and Cognos | Python for Data Science, AI & Development | Python Project for Data Science | Databases and SQL for Data Science with Python | Data Analysis with Python | Data Visualization with Python | IBM Data Analyst Capstone Project | Generative AI: Enhance your Data Analytics Career | Data Analyst Career Guide and Interview Preparation","IBM Skills Network Team, Dr. Pooja, Abhishek Gagneja, Joseph Santarcangelo, Rav Ahuja, Saishruthi Swaminathan, Hima Vasudevan, Sandip Saha Joy, Azim Hirjani, Steve Ryan, Kevin McFaul, Ramesh Sannareddy"
Excel Skills for Business: Advanced,4.7 out of 5 stars,6.1K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/excel-advanced,7 modules,"Depreciation, Data Analysis Expressions (DAX), Dashboard, Data Validation, Automation, Finance, Loans, Spreadsheet Software, Excel Formulas, Data Visualization, Microsoft Excel, Financial Modeling, Business Intelligence Software, Data Cleansing",Spreadsheet Design and Documentation | Advanced Formula Techniques | Data Cleaning and Preparation | Financial Functions and Working with Dates | Advanced Lookup Functions | Building Professional Dashboards | Final Assessment,"Nicky Bull, Assoc Prof Prashan S. M. Karunaratne, Professor Yvonne Breyer, Macquarie University"
Microsoft Copilot for Excel: AI-Powered Data Analysis,4.5 out of 5 stars,6 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/copilot-for-excel,5 modules,"Artificial Intelligence, Generative AI, People Analytics, Pivot Tables And Charts, Microsoft Excel, Human Resources Information System (HRIS), ChatGPT, Microsoft Copilot, Data Presentation, Data Visualization, Spreadsheet Software, Data Analysis, Data Manipulation, Excel Formulas","Intro to Microsoft Copilot | Adding Formula Columns | Sorting, Filtering & Highlighting | Analyzing Data | Advanced Functionality",Maven Analytics
Data Visualization using Microsoft Excel,4.5 out of 5 stars,62 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/data-visualization-microsoft-excel,,"Data Import/Export, Microsoft 365, Report Writing, User Accounts, Business Reporting, Microsoft Excel, Data Visualization Software, Data Visualization",,"Daria Toropchyn, Coursera Project Network"
"Everyday Excel, Part 1",4.7 out of 5 stars,3.6K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/everyday-excel-part-1,5 modules,"Microsoft Excel, Microsoft PowerPoint, Excel Formulas, Excel Macros, Data Import/Export, Microsoft Word, Data Management, Data Validation, Problem Solving, Data Visualization","Navigating Excel | Expression Entry and Common Excel Functions | More Excel functions | Managing Data | Plotting, Importing Data, and Converting to Other File Types","Charlie Nuttelman, University of Colorado Boulder"
Custom & Conditional Formatting in Microsoft Excel,4.3 out of 5 stars,20 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/custom-and-conditional-formatting-in-microsoft-excel,,"Data Entry, Data Visualization, Data Management, Business Strategy, Spreadsheet Software, Data Analysis",,"Kim Webb, Coursera Project Network"
كيف تبدأ بتعلم Microsoft Excel,4.7 out of 5 stars,84 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/kayf-tabdaa-btaalom-microsoft-excel,,"Data Entry, Microsoft Excel, Excel Formulas, Productivity Software, Spreadsheet Software, Data Analysis Software",,"Yasmeen Atwa, Coursera Project Network"
Usar fórmulas y funciones básicas en Microsoft Excel,4.8 out of 5 stars,344 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/usar-formulas-funciones-basicas-microsoft-excel,,"Microsoft 365, Data Analysis Software, Profit and Loss (P&L) Management, Microsoft Excel, Spreadsheet Software, Excel Formulas",,"Paula Del Rey, Coursera Project Network"
Work Smarter with Microsoft PowerPoint,4.7 out of 5 stars,1K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/microsoft-powerpoint-work-smarter,5 modules,"Microsoft Windows, Multimedia, File Management, Productivity Software, Editing, Presentations, Microsoft PowerPoint, Collaborative Software, Microsoft 365",Getting started with PowerPoint | Developing a presentation | Enhancing the appearance of a presentation | Preparing to deliver a presentation | Honours: Hands-on practice using Microsoft PowerPoint,
Microsoft 365 Copilot for Leaders,4.8 out of 5 stars,1.2K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/microsoft-365-copilot-for-leaders,,"Ideation, Proposal Writing, Target Audience, Business Leadership, Prompt Engineering, Generative AI, Succession Planning, Verification And Validation, Strategic Communication, ChatGPT, Microsoft Copilot, Productivity Software",Generative AI for Leaders | Microsoft 365 Copilot: Personal Productivity for All | Trustworthy Generative AI,"Dr. Jules White, Bob Higgins, Vanderbilt University"
Excel and Copilot Fundamentals,4.2 out of 5 stars,102 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/excel-and-copilot-fundamentals,5 modules,"Data Entry, Prompt Engineering, UI Components, Data Manipulation, Microsoft Excel, Excel Formulas, Data Visualization, Data Analysis, Data Presentation, Spreadsheet Software, Microsoft Copilot",Introduction to Copilot in Excel and activation | Excel interface and basic features | Excel formulas and functions | Basic data entry and formatting with Copilot | Introduction to prompt engineering for Copilot in Excel,
