課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Behavioral Finance,4.4 out of 5 stars,4.4K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/duke-behavioral-finance,3 modules,"Financial Planning, Consumer Behaviour, Psychology, Economics, Risk Analysis, Decision Making, Behavioral Economics, Financial Market, Finance",Week 1 | Week 2 | Week 3,"Emma Rasiel, John Forlines III, Duke University",Starts Jul 17,Flexible schedule,Approx. 5 hours.Learn at your own pace
Risk Management,4.6 out of 5 stars,1.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/risk-management,,"Financial Market, Risk Appetite, Governance, Investment Management, Operational Risk, Risk Mitigation, Key Performance Indicators (KPIs), Enterprise Risk Management (ERM), Risk Management Framework, Market Data, Financial Analysis, Risk Modeling",Introduction to Risk Management | Credit Risk Management: Frameworks and Strategies | Market Risk Management: Frameworks & Strategies | Operational Risk Management: Frameworks & Strategies,"Jack Farmer, Joseph Iraci, Tracy Williams, New York Institute of Finance",Starts Jul 17,1 month,at 10 hours. a week
Financial Management,4.7 out of 5 stars,6.8K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/financial-management,,"Accrual Accounting, Mergers & Acquisitions, Financial Statement Analysis, Bookkeeping, Business Valuation, Cash Flows, Financial Analysis, Financial Statements, Working Capital, Investments, Revenue Recognition, Risk Management",Financial Accounting: Foundations | Financial Accounting: Advanced Topics | Investments I: Fundamentals of Performance Evaluation | Investments II: Lessons and Applications for Investors | Corporate Finance I: Measuring and Promoting Value Creation | Corporate Finance II: Financing Investments and Managing Risk,"Oktay Urcan, Stefan Zeume, Gies College of Business, University of Illinois, Heitor Almeida, University of Illinois Urbana-Champaign",Starts Jul 17,3 months,at 10 hours. a week
Introduction to Spreadsheets and Models,4.2 out of 5 stars,3.9K reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/wharton-introduction-spreadsheets-models,4 modules,"Data Modeling, Microsoft Excel, Google Sheets, Statistical Analysis, Risk Analysis, Forecasting, Financial Modeling, Regression Analysis, Spreadsheet Software, Simulation and Simulation Software, Probability & Statistics, Business Modeling, Process Improvement and Optimization",Spreadsheets: A Tool for Thinking with Numbers | From Spreadsheet to Model | Addressing Uncertainty and Probability in Models | Simulation and Optimization,"Don Huesman, University of Pennsylvania",Starts Jul 17,Flexible schedule,Learn at your own pace
Reading Financial Statements,4.7 out of 5 stars,29 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/reading-financial-statements,6 modules,"Corporate Finance, Business Risk Management, Management Reporting, Financial Statements, Income Statement, Business, Annual Reports, Financial Analysis, Cash Flows, Accounting, Balance Sheet, Financial Reporting, Financial Statement Analysis",Getting Started | Understanding the Annual Report | Understanding Financial Statements | Income Statement and Cashflow Statement | Course Summary | Qualified Assessment,"CFI (Corporate Finance Institute), Corporate Finance Institute",Starts Jul 17,5 hours to complete,
English for Career Development,4.8 out of 5 stars,17K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/careerdevelopment,5 modules,"Business Communication, Business Correspondence, Verbal Communication Skills, Business Writing, English Language, Social Skills, Interviewing Skills, Professional Networking, Communication, Vocabulary, Writing",Unit 1: Entering the Job Market | Unit 2: Resumes | Unit 3: Writing a Cover Letter | Unit 4: Networking | Unit 5: Interviewing For a Job,"Brian McManus, Robyn Turner, University of Pennsylvania",Starts Jul 17,Flexible schedule,Learn at your own pace
Google Advanced Data Analytics,4.7 out of 5 stars,7K reviews,Advanced · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-advanced-data-analytics,,"Tableau Software, Sampling (Statistics), Machine Learning, Statistical Hypothesis Testing, Feature Engineering, Data Visualization, Statistical Analysis, Exploratory Data Analysis, Data Science, Advanced Analytics, Data Presentation, Descriptive Statistics",Foundations of Data Science | Get Started with Python | Go Beyond the Numbers: Translate Data into Insights | The Power of Statistics | Regression Analysis: Simplify Complex Data Relationships | The Nuts and Bolts of Machine Learning | Google Advanced Data Analytics Capstone | Accelerate Your Job Search with AI,,Starts Jul 17,Flexible schedule,"6 months, 10 hours. a weekLearn at your own pace"
Accounting: Principles of Financial Accounting,4.8 out of 5 stars,3.2K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/financial-accounting,4 modules,"Financial Accounting, Financial Analysis, Financial Reporting, Income Statement, Accrual Accounting, Financial Statement Analysis, Cash Flows, Financial Statements, Accounting, Generally Accepted Accounting Principles (GAAP), Balance Sheet",Course Overview & Module 1: Introduction to Accounting - The Balance Sheet | Module 2: The Income Statement | Module 3: The Cash Flow Statement | Week 4: Accrual Accounting,"Marc Badia, IESE Business School",Starts Jul 17,Flexible schedule,Approx. 13 hours.Learn at your own pace
Financial Planning for Young Adults,4.6 out of 5 stars,1.4K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/financial-planning,9 modules,"Budgeting, Risk Management, Financial Planning, Credit Risk, Finance, Loans, Insurance, Goal Setting, Investments",Orientation | Module 1: Setting Financial Goals and Assessing Your Situation | Module 2: Budgeting and Cash Flow Management | Module 3: Saving Strategies | Module 4: The Time Value of Money | Module 5: Borrowing and Credit | Module 6: Investing | Module 7: Risk Management | Module 8: Financial Planning as a Career,"Nicholas Paulson, Ph.D., Kathryn L. Sweedler, Charles R. Chaffin, University of Illinois Urbana-Champaign",Starts Jul 17,,
The Path to Insights: Data Models and Pipelines,4.7 out of 5 stars,650 reviews,Advanced · Course · 1 - 4 Weeks,https://www.coursera.org/learn/the-path-to-insights-data-models-and-pipelines,4 modules,"Database Design, Data Pipelines, Performance Testing, Data Quality, Data Mart, Extract, Transform, Load, Data Integrity, Data Modeling, Performance Tuning, Data Transformation, Process Optimization, Business Intelligence, Data Validation, Data Warehousing, Data Management",Data models and pipelines | Dynamic database design | Optimize ETL processes | Course 2 end-of-course project,,Starts Jul 17,Flexible schedule,Approx. 16 hours.Learn at your own pace
