課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Minimal API Development with ASP.NET Core,N/A,N/A,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/packt-minimal-api-development-with-asp-net-core-xn24f,8 modules,"Object-Relational Mapping, Endpoint Security, Database Design, Data Mapping, Microsoft Development Tools, C# (Programming Language), Microsoft Visual Studio, .NET Framework, Development Environment, Application Programming Interface (API), Restful API, Authentications, Postman API Platform, Data Validation, API Design",Introduction | Environment Configuration | Add Entity Framework | Create ASP.NET Core API Project with Visual Studio | Create API Endpoints | Securing a Minimal API | Value-Added Features | Conclusion,Packt - Course Instructors,Starts Jul 19,Flexible schedule,Learn at your own pace
Building with Retool AI,N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/building-with-retool-ai,5 modules,"Business Process Automation, Workflow Management, Automation, Generative AI, Software Development Life Cycle, Dashboard, Web Applications, Application Programming Interface (API), Application Development, Artificial Intelligence, Mobile Development, SQL, User Interface (UI), Scrum (Software Development), Data Integration",SDLC and Retool Foundation | Mastering Retool Web App | Retool Mobile and Workflow | Introduction to Retool AI | Building an end-to-end Project with Retool AI,,Starts Jul 19,Flexible schedule,Learn at your own pace
Getting Started with Amazon RDS for MariaDB,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/aws-getting-started-with-amazon-rds-for-mariadb,1 module,"Amazon Web Services, Database Management, Command-Line Interface, Database Architecture and Administration, MySQL, Relational Databases",Getting Started with Amazon RDS for MariaDB,"AWS Instructor, Amazon Web Services",Starts Jul 19,Flexible schedule,Learn at your own pace
Getting Started with Teradata,N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/getting-started-with-teradata-first-course-1,5 modules,"Database Architecture and Administration, Data Modeling, Database Management, SQL, Database Administration, Data Architecture, Database Design, Data Warehousing, Software Installation, Performance Tuning, Data Import/Export, Teradata SQL, Database Management Systems","Overview of Teradata | Install, Configure, and Use Teradata Studio | Data Management with Teradata | Loading Data with Teradata | Data Modeling Basics",Eric Grose,Starts Jul 19,Flexible schedule,Learn at your own pace
تصميم واجهة برمجة تطبيق ب Python Flask : إنشاء واجهة لمدونة,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/tasmim-wajihat-barmajat-tatbiq-bi-python-flask-insha-wajihat-limudawana,1 module,"Software Development, MySQL, Design, Restful API, Databases, Application Programming Interface (API), Software Versioning, Flask (Web Framework), API Design, Postman API Platform, JSON",ÙÙØ®Øµ Ø§ÙÙØ´Ø±ÙØ¹,"Mohamed Alansary, Coursera Project Network",Starts Jul 19,Flexible schedule,Learn at your own pace
Unlocking Oracle Exadata Database Service in OCI,N/A,N/A,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/oracle-exadata-database-service-essentials-in-oci,1 module,"Oracle Databases, Data Storage Technologies, Cloud Computing, Strategic Partnership, Disaster Recovery, Cloud Security, Database Management, Scalability, Data Architecture, Cloud Infrastructure, Database Architecture and Administration, Cloud Platforms",Oracle Exadata Database Service Essentials in OCI,"Kshitij Joy, Coursera Instructor Network",Starts Jul 19,Flexible schedule,Learn at your own pace
Analyze Customer Reviews with Gemini Using Python Notebooks,N/A,N/A,Intermediate · Project · Less Than 2 Hours,https://www.coursera.org/projects/googlecloud-analyze-customer-reviews-with-gemini-using-python-notebooks-5qdjx,,"Applied Machine Learning, Jupyter, Google Cloud Platform, Cloud Applications, SQL, Machine Learning, Big Data, Text Mining, Statistical Reporting",,"Google Cloud Training, Google Cloud",,Hands-on learning,Learn more
Introduction to AI and Machine Learning on GC - Português,N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-to-ai-and-machine-learning-on-google-cloud-ptbr,6 modules,"Big Data, Predictive Modeling, Natural Language Processing, MLOps (Machine Learning Operations), Machine Learning, Generative AI, Cloud Services, Cloud Infrastructure, Google Cloud Platform, Artificial Intelligence and Machine Learning (AI/ML)",IntroduÃ§Ã£o | Fundamentos da IA | OpÃ§Ãµes de desenvolvimento de IA | Fluxo de trabalho do desenvolvimento de IA | IA generativa | Resumo,"Google Cloud Training, Google Cloud",Starts Jul 19,Flexible schedule,Learn at your own pace
Der Werkzeugkasten des Data Scientist,N/A,N/A,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/data-scientists-tools-de,4 modules,"Software Development Tools, GitHub, Data Science, Integrated Development Environments, Version Control, Data Analysis, Software Installation, Statistical Programming, R Programming, Big Data, Technical Communication, Git (Version Control System), Rmarkdown","Data ScienceÂ â Grundlagen | R und RStudio | Versionskontrolle und GitHub | R Markdown, wissenschaftliches Denken und Big Data","Localization Team, Jeff Leek, PhD, Johns Hopkins University",Starts Jul 19,,
Introduction to AI and Machine Learning on GC - Français,N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-to-ai-and-machine-learning-on-google-cloud-fr,6 modules,"Artificial Intelligence and Machine Learning (AI/ML), MLOps (Machine Learning Operations), Cloud Infrastructure, Machine Learning, Generative AI, Big Data, Natural Language Processing, Google Cloud Platform, Predictive Modeling, Cloud Computing",Introduction | ÃlÃ©ments de base de l'IA | Options de dÃ©veloppement d'IA | Workflow de dÃ©veloppement d'IA | IA gÃ©nÃ©rative | RÃ©sumÃ©,"Google Cloud Training, Google Cloud",Starts Jul 19,Flexible schedule,Learn at your own pace
Real-Time Big Data Access using HBase: Boosting Performance,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/using-hbase-for-real-time-access-to-big-data,3 modules,"Scalability, Application Deployment, Database Design, Data Modeling, Distributed Computing, Data Manipulation, Data Processing, Real Time Data, Disaster Recovery, Performance Tuning, Operational Databases, Data Storage Technologies, Query Languages, NoSQL, Big Data",Introduction to HBase | HBase Querying and Data Access | HBase in Real-Time Applications,Sandeep Agarwal,Starts Jul 19,Flexible schedule,Learn at your own pace
