課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Creating a Multi Page App using HTML & CSS,4.2 out of 5 stars,13 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/creating-a-multi-page-app-using-html-and-css,,"Web Design, Web Applications, Cascading Style Sheets (CSS), Web Design and Development, Web Development, Hypertext Markup Language (HTML), HTML and CSS",,"Omnya Khaled, Coursera Project Network",,2 Hours,Learn at your own pace
Django (Python) Web Framework - The Comprehensive Guide,N/A,N/A,Intermediate · Course · 3 - 6 Months,https://www.coursera.org/learn/packt-django-python-web-framework-the-comprehensive-guide-6ba4j,17 modules,"User Interface (UI), HTML and CSS, Responsive Web Design, Model View Controller, Back-End Web Development, Authentications, Database Management, Application Deployment, User Accounts, Application Programming Interface (API), Web Development, Bootstrap (Front-End Framework), Restful API, Data Migration, Object-Relational Mapping, Python Programming, Authorization (Computing), Django (Web Framework)",Introduction | Install Python and Development Setup - Windows and Mac | Django Web Framework Fundamentals - Deep Dive | Django Models and Database - ORM & Migrations | Django QuerySet API | Django Templates and Static Files - The Django Templating Engine | Django Forms and User Inputs | Authentication and Authorization in Django | Styling our Django Web App with Bootstrap | Django Authentication - Creating a User Profile from the User Object | The Django Messaging Framework | Session Management in Django | Adding Favorites Recipe Feature to the App | Delete & Update Recipes | Django REST Framework - Build a REST API | Deploying our Django Web App to Heroku | Wrap up,Packt - Course Instructors,Starts Jul 19,Flexible schedule,Learn at your own pace
Information Systems Operations and Business Resiliency,N/A,N/A,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/packt-information-systems-operations-and-business-resiliency-2vnofe,4 modules,"Patch Management, Information Systems, Auditing, Asset Management, Service Level Agreement, IT Service Management, Business Continuity, Database Management Systems, Incident Management, Data Governance, Problem Management, Business Continuity Planning, Information Technology Operations, IT Infrastructure, Data Security, Disaster Recovery","IT Components and Asset Management | Data Governance, Licensing, and Incident Management | Service Management, Database Management, and System Resiliency | Business Continuity and Disaster Recovery",Packt - Course Instructors,Starts Jul 19,Flexible schedule,Learn at your own pace
Parameterized and Dynamic Testing in JUnit,4.3 out of 5 stars,16 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/dynamic-j-unit-testing,2 modules,"JUnit, Test Execution Engine, Test Data, Software Testing, Test Automation, Unit Testing, Test Case",Parameterized Testing | Dynamic Tests,Grayson Lyvers,Starts Jul 19,4 hours to complete,
Java Programming Fundamentals and Object-Oriented Concepts,N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/packt-java-programming-fundamentals-and-object-oriented-concepts-ebdwt,9 modules,"Object Oriented Programming (OOP), Computer Programming, Eclipse (Software), Software Installation, Object Oriented Design, Programming Principles, Java, Integrated Development Environments, Java Programming, Data Structures, Development Environment","Basic Concepts of Java Programming | String Operations | Object-Oriented Programming | Special and Useful Classes in Java | New Stuff in Java 10 | Inheritance, Abstraction, and Polymorphism | Programming with Arrays in Java | Programming with Lists in Java | Sets and Maps",Packt - Course Instructors,Starts Jul 19,Flexible schedule,Learn at your own pace
Dive Deep into Python,3.6 out of 5 stars,7 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/dive-deep-into-python,4 modules,"Computer Programming, File Management, Object Oriented Programming (OOP), Data Processing, Python Programming, Data Manipulation, Programming Principles, Data Structures",Foundations of Python Programming | Python Programming Essentials | Python Data Structures and Functions | Python OOPs and File Handling,Board Infinity,Starts Jul 19,Flexible schedule,Learn at your own pace
Python Basics: Automation and Bots,4.9 out of 5 stars,8 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/python-basics-automation-and-bots,4 modules,"Computer Programming, Python Programming, Application Programming Interface (API), Debugging, Scripting, Data Cleansing, Computational Thinking, Programming Principles, Automation",Reading all of Shakespeare in an Instant | The Flow of Your Python Code | Code Flow and Logic | Course Summary & Honors: Interactive Demo,"Seth Frey, University of California, Davis",Starts Jul 19,Flexible schedule,Learn at your own pace
Intermediate 3D Modelling and Game Asset Creation,N/A,N/A,Intermediate · Course · 3 - 6 Months,https://www.coursera.org/learn/packt-intermediate-3d-modelling-and-game-asset-creation-inb1l,19 modules,"Unreal Engine, Animation and Game Design, Unity Engine, 3D Modeling, Performance Tuning, Augmented and Virtual Reality (AR/VR), Computer Graphics, Video Game Development",Speeding Up Our Workflow | Creating Furniture Like Ikea | Working with Cloth | Customizing Decal Materials | A Crash Course in Geometry Nodes | Game of Thrones Style Stocks | Working with Emission Materials | Creating Realism in Our Prop | What Is Modifier Stacking? | How to Create Low-Poly Weapons | Creative Ways of Using Topology | Creating More Complex Geometry Nodes | Modelling the Final More Complex Props | Bringing All Our Modelling Techniques Together | Working with Blender Cycles X | Compositing Renders | Welcome to Realtime Rendering | Learning about Animation Paths | Unreal Engine 5 Blender Setup,Packt - Course Instructors,Starts Jul 19,Flexible schedule,Learn at your own pace
Programming with Rust,3.7 out of 5 stars,20 reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/programming-with-rust,,"Rust (Programming Language), Development Environment, Web Applications, Performance Tuning, Server Side, Object-Relational Mapping, Data Structures, Application Development, API Design, System Programming, Data Manipulation, Web Servers",Rust Programming Essentials | Advanced Rust Programming | Web Development with Rust,,Starts Jul 19,3 months,at 4 hours. a week
React Fundamentals,4.3 out of 5 stars,9 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/react-fundamentals,3 modules,"React.js, HTML and CSS, Front-End Web Development, UI Components, Event-Driven Programming, JavaScript Frameworks, Responsive Web Design, Javascript, Bootstrap (Front-End Framework), User Interface (UI)",Introduction to JavaScript Programming | React for Frontend development | Front End Application by using Javascript and React JS,Board Infinity,Starts Jul 19,Flexible schedule,Learn at your own pace
