課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Terraform for absolute beginners,4.3 out of 5 stars,186 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/terraform-for-absolute-beginners,,"Infrastructure as Code (IaC), Microsoft Azure, Terraform, IT Automation, Cloud Infrastructure, Infrastructure As A Service (IaaS), DevOps",,"Saurabh Dhingra, Coursera Project Network"
Architecting with Google Kubernetes Engine en Portuguese,4.8 out of 5 stars,769 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/architecting-google-kubernetes-engine-br,,"Application Deployment, Continuous Integration, Cloud-Native Computing, Kubernetes, CI/CD, Containerization, Cloud Computing Architecture, Cloud Infrastructure, Data Storage, Cloud Computing, Generative AI, Cloud Applications",Google Cloud Fundamentals: Core Infrastructure em PortuguÃªs Brasileiro | Architecting with Google Kubernetes Engine: Foundations em PortuguÃªs Brasileiro | Architecting with Google Kubernetes Engine: Workloads em PortuguÃªs Brasileiro | Architecting with Google Kubernetes Engine: Production em PortuguÃªs Brasileiro,"Google Cloud Training, Google Cloud"
Integrando DevOps con Azure App Service,N/A,N/A,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/devops-azure-app-service,,"Cloud Applications, Application Deployment, GitHub, DevOps, Microsoft Azure, System Monitoring, Continuous Deployment, Azure DevOps",,"Nestor Nicolas Campos Rojas, Coursera Project Network"
Building Cloud Computing Solutions at Scale,4.4 out of 5 stars,463 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/building-cloud-computing-solutions-at-scale,,"Application Deployment, Machine Learning, Cloud-Native Computing, CI/CD, Cloud Infrastructure, Cloud Computing, Software Engineering, Applied Machine Learning, Distributed Computing, MLOps (Machine Learning Operations), Cloud Applications, Cloud API","Cloud Computing Foundations | Cloud Virtualization, Containers and APIs | Cloud Data Engineering | Cloud Machine Learning Engineering and MLOps","Noah Gift, Duke University"
Advanced Data Engineering with Snowflake,N/A,N/A,Advanced · Course · 1 - 4 Weeks,https://www.coursera.org/learn/advanced-data-engineering-with-snowflake,2 modules,"Data Engineering, Continuous Monitoring, CI/CD, Data Pipelines, Command-Line Interface, Version Control, Data Analysis, System Monitoring, Database Management, Databases, DevOps",DevOps with Snowflake | Observability with Snowflake,
Network Automation Engineering Fundamentals,4.7 out of 5 stars,132 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/networkautomation,,"Ansible, CI/CD, IT Automation, Network Architecture, Scripting, Software Development Tools, Network Administration, Software-Defined Networking, Authentications, Development Environment, Network Engineering, Network Protocols",Introduction to Network Automation | Using APIs for Network Automation | Ansible for Network Automation | DevOps for Network Automation (NetDevOps) | Introducing Model-Driven Programmability,"Cisco Learning & Certifications, Cisco Learning and Certifications"
Black-box and White-box Testing,3.8 out of 5 stars,112 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/black-box-white-box-testing,4 modules,"Code Coverage, Requirements Analysis, Testability, Test Automation, Unit Testing, Software Testing, Gherkin (Scripting Language), Cucumber (Software), Acceptance Testing, JUnit, Test Case, Behavior-Driven Development, Java Programming, Functional Testing",Module 1: Introduction | Module 2: Black and White-box Techniques | Module 3: Requirements-Based Testing | Performing Black and White Box Testing with Cucumber,"Kevin Wendt, University of Minnesota"
Fundamentals of Ansible,4.7 out of 5 stars,71 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/fundamentals-of-ansible,7 modules,"Configuration Management, Infrastructure as Code (IaC), Ansible, System Configuration, Linux, YAML, Linux Commands, DevOps, Linux Administration, Automation",Introducing Ansible | Configuring Ansible | Writing and Running Playbooks | Managing Variables | Simplifying Playbooks | Implementing Task Control | Comprehensive Review,"Red Hat Training, Red Hat"
Docker for Beginners with Hands-on labs,4.6 out of 5 stars,123 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/docker-for-the-absolute-beginner,10 modules,"Data Storage, YAML, Application Deployment, Computer Networking, Linux Commands, Containerization, DevOps, Kubernetes, CI/CD, Docker (Software), Command-Line Interface",Docker Introduction | Docker Commands | Docker Run | Docker Images | Docker Compose | Docker Engine and Storage | Docker Networking and Registry | Docker on Mac & Windows | Container Orchestration - Docker Swarm & Kubernetes | Conculsion,Mumshad Mannambeth
Cloud Computing Foundations,4.5 out of 5 stars,271 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/cloud-computing-foundations-duke,5 modules,"Continuous Delivery, Software Development Methodologies, Serverless Computing, Software Development, Platform As A Service (PaaS), Agile Software Development, Amazon Web Services, Infrastructure as Code (IaC), Cloud Computing, DevOps, Cloud Infrastructure, Infrastructure As A Service (IaaS), CI/CD, Technical Communication, GitHub",Getting Started with Cloud Computing Foundations | Developing Effective Technical Communication | Exploring Cloud Onboarding | Evaluating the Cloud Service Model | Applying DevOps Principles,"Noah Gift, Duke University"
Introduction to Docker,4.3 out of 5 stars,84 reviews,Beginner · Project · Less Than 2 Hours,https://www.coursera.org/projects/googlecloud-introduction-to-docker-2zs0k,,"Devops Tools, Containerization, Web Development, DevOps, Docker (Software), Google Cloud Platform",,"Google Cloud Training, Google Cloud"
